seconds,small_cars,large_cars,car_flow,car_density,car_speed
0,6.88,0.32,3,0.188,15.957446808510639
1,6.32,0.32,3,0.174,17.24137931034483
2,6.0,0.12,5,0.156,32.05128205128205
3,6.84,0.0,9,0.1709999999999999,52.63157894736845
4,8.32,0.0,7,0.208,33.65384615384615
5,6.6,0.44,1,0.187,5.347593582887701
6,5.44,0.68,1,0.17,5.88235294117647
7,1.44,0.92,4,0.082,48.78048780487805
8,4.4,0.28,3,0.124,24.193548387096776
9,2.48,1.24,2,0.124,16.129032258064516
10,2.96,0.84,0,0.1159999999999999,0.0
11,5.12,0.16,5,0.136,36.76470588235294
12,5.04,0.8,3,0.166,18.072289156626503
13,4.8,1.28,6,0.184,32.608695652173914
14,4.88,1.64,4,0.204,19.607843137254903
15,7.88,0.04,5,0.199,25.125628140703515
16,7.32,0.0,8,0.183,43.71584699453552
17,5.64,1.16,9,0.1989999999999999,45.22613065326635
18,4.56,2.04,4,0.216,18.51851851851852
19,8.6,0.56,3,0.2429999999999999,12.345679012345684
20,9.36,0.12,6,0.24,25.0
21,7.52,0.08,5,0.192,26.041666666666668
22,7.24,0.04,7,0.183,38.25136612021858
23,4.04,0.48,7,0.125,56.0
24,3.6,1.28,3,0.154,19.48051948051948
25,4.36,0.92,8,0.155,51.612903225806456
26,4.16,0.68,4,0.138,28.98550724637681
27,5.8,0.08,6,0.149,40.26845637583893
28,5.8,0.04,4,0.147,27.2108843537415
29,6.6,0.48,10,0.189,52.91005291005291
30,4.32,1.32,5,0.174,28.73563218390805
31,6.8,0.12,2,0.176,11.363636363636365
32,6.88,0.28,6,0.186,32.25806451612903
33,6.36,0.52,2,0.185,10.81081081081081
34,6.76,0.88,4,0.213,18.779342723004696
35,5.44,1.0,11,0.186,59.13978494623656
36,7.28,0.68,3,0.216,13.88888888888889
37,6.44,1.08,4,0.215,18.6046511627907
38,6.8,0.12,3,0.176,17.045454545454547
39,7.16,0.2,6,0.189,31.746031746031747
40,5.48,0.76,5,0.175,28.571428571428573
41,2.72,1.2,4,0.128,31.25
42,5.36,0.52,7,0.16,43.75
43,5.16,1.24,4,0.191,20.94240837696335
44,4.08,2.12,4,0.208,19.23076923076923
45,5.48,0.84,9,0.179,50.279329608938546
46,7.16,0.0,2,0.179,11.1731843575419
47,5.76,1.28,5,0.208,24.03846153846154
48,6.4,1.44,5,0.232,21.551724137931032
49,7.04,0.16,2,0.184,10.869565217391305
50,8.24,0.28,4,0.22,18.181818181818183
51,5.28,0.96,1,0.18,5.555555555555555
52,5.28,0.84,2,0.174,11.49425287356322
53,6.64,1.08,10,0.22,45.45454545454545
54,7.44,1.2,7,0.246,28.45528455284553
55,8.88,0.48,16,0.246,65.04065040650407
56,7.76,1.44,2,0.266,7.518796992481203
57,7.8,0.44,8,0.217,36.86635944700461
58,8.24,0.56,2,0.2339999999999999,8.54700854700855
59,7.0,0.08,9,0.179,50.279329608938546
60,6.24,0.16,2,0.164,12.195121951219512
61,6.12,1.04,6,0.205,29.26829268292683
62,7.48,0.16,6,0.195,30.769230769230766
63,6.28,0.44,3,0.179,16.75977653631285
64,6.48,0.4,3,0.182,16.483516483516485
65,7.12,0.2,4,0.188,21.27659574468085
66,5.76,0.36,3,0.1619999999999999,18.51851851851853
67,5.68,0.76,2,0.18,11.11111111111111
68,5.92,0.2,5,0.158,31.645569620253163
69,5.8,0.4,2,0.1649999999999999,12.121212121212128
70,6.48,0.6,6,0.192,31.25
71,6.32,0.08,3,0.162,18.51851851851852
72,6.28,0.32,3,0.173,17.341040462427745
73,6.36,0.28,7,0.173,40.46242774566474
74,6.08,0.0,2,0.152,13.157894736842106
75,6.72,0.08,8,0.172,46.51162790697675
76,7.08,0.12,4,0.183,21.85792349726776
77,7.24,0.32,6,0.197,30.45685279187817
78,6.04,0.28,5,0.1649999999999999,30.303030303030322
79,5.04,0.24,3,0.1379999999999999,21.739130434782624
80,6.28,0.44,4,0.179,22.3463687150838
81,7.76,0.16,7,0.202,34.65346534653465
82,8.48,0.04,5,0.214,23.364485981308412
83,6.04,0.64,6,0.183,32.78688524590164
84,6.44,0.88,11,0.205,53.65853658536586
85,6.24,0.8,2,0.196,10.204081632653061
86,7.48,0.0,2,0.187,10.695187165775401
87,5.12,0.2,4,0.138,28.98550724637681
88,5.88,0.04,8,0.149,53.691275167785236
89,5.52,0.52,1,0.1639999999999999,6.09756097560976
90,5.6,0.92,9,0.186,48.38709677419355
91,6.56,0.64,4,0.196,20.408163265306122
92,8.44,0.08,3,0.215,13.953488372093023
93,6.76,0.04,1,0.1709999999999999,5.847953216374273
94,4.56,1.04,6,0.1659999999999999,36.144578313253035
95,5.68,0.4,7,0.1619999999999999,43.2098765432099
96,6.64,0.08,1,0.1699999999999999,5.882352941176474
97,6.28,1.72,6,0.243,24.691358024691358
98,3.48,1.16,0,0.145,0.0
99,3.68,0.96,4,0.1399999999999999,28.57142857142859
100,6.0,0.12,5,0.156,32.05128205128205
101,6.16,1.4,4,0.224,17.857142857142858
102,6.48,1.0,13,0.212,61.320754716981135
103,6.32,0.76,6,0.196,30.612244897959183
104,6.08,1.56,4,0.2299999999999999,17.391304347826093
105,5.8,1.32,4,0.211,18.95734597156398
106,4.76,0.16,4,0.127,31.496062992125985
107,7.44,0.2,5,0.196,25.51020408163265
108,8.16,0.08,4,0.208,19.23076923076923
109,6.84,0.64,6,0.2029999999999999,29.556650246305434
110,6.84,0.52,3,0.197,15.228426395939085
111,6.12,0.32,5,0.1689999999999999,29.585798816568065
112,6.2,0.16,4,0.163,24.539877300613497
113,6.28,0.4,3,0.177,16.949152542372882
114,7.12,0.56,6,0.206,29.12621359223301
115,7.04,0.36,2,0.194,10.309278350515463
116,8.6,0.12,9,0.221,40.723981900452486
117,8.36,0.24,0,0.221,0.0
118,8.4,0.16,1,0.218,4.587155963302752
119,6.96,0.36,3,0.192,15.625
120,6.92,0.28,6,0.187,32.0855614973262
121,5.8,0.0,8,0.145,55.17241379310345
122,6.16,0.0,6,0.154,38.96103896103896
123,7.2,0.0,11,0.18,61.111111111111114
124,6.88,0.28,5,0.186,26.881720430107528
125,1.88,1.04,4,0.099,40.4040404040404
126,0.52,1.2,8,0.073,109.58904109589042
127,0.08,2.12,6,0.108,55.55555555555556
128,0.76,2.32,1,0.1349999999999999,7.407407407407413
129,2.68,1.0,1,0.1169999999999999,8.547008547008554
130,2.56,1.08,1,0.118,8.474576271186441
131,5.0,0.96,5,0.173,28.901734104046245
132,5.2,0.96,4,0.178,22.471910112359552
133,6.68,1.08,5,0.221,22.624434389140273
134,7.84,0.04,2,0.198,10.1010101010101
135,7.88,0.0,2,0.197,10.152284263959391
136,7.52,0.2,5,0.198,25.252525252525253
137,6.76,0.32,6,0.185,32.432432432432435
138,7.0,0.52,9,0.2009999999999999,44.776119402985096
139,6.76,0.92,3,0.215,13.953488372093023
140,6.4,0.0,3,0.16,18.75
141,6.88,0.12,4,0.178,22.471910112359552
142,7.44,0.2,4,0.196,20.408163265306122
143,6.4,0.04,15,0.162,92.5925925925926
144,8.36,0.08,6,0.213,28.169014084507044
145,9.08,0.04,5,0.229,21.83406113537118
146,8.68,0.04,4,0.219,18.264840182648403
147,8.48,0.8,2,0.252,7.936507936507937
148,8.32,0.04,7,0.21,33.333333333333336
149,7.12,0.36,10,0.196,51.0204081632653
150,5.92,1.16,2,0.206,9.708737864077671
151,8.24,0.36,7,0.224,31.25
152,8.76,0.04,8,0.221,36.199095022624434
153,6.08,0.44,3,0.174,17.24137931034483
154,8.2,0.0,12,0.205,58.53658536585366
155,8.0,0.28,2,0.214,9.345794392523365
156,6.16,0.24,3,0.166,18.072289156626503
157,5.4,0.04,4,0.137,29.1970802919708
158,6.0,0.36,7,0.1679999999999999,41.66666666666669
159,6.16,0.92,9,0.2,45.0
160,5.68,1.04,11,0.194,56.70103092783505
161,5.76,0.84,2,0.186,10.75268817204301
162,6.68,0.04,4,0.1689999999999999,23.668639053254452
163,6.56,0.24,4,0.176,22.72727272727273
164,6.44,0.2,3,0.171,17.543859649122805
165,6.44,0.28,5,0.175,28.571428571428573
166,6.28,0.0,9,0.157,57.32484076433121
167,6.36,0.88,1,0.203,4.926108374384236
168,6.92,0.8,3,0.213,14.084507042253522
169,5.84,0.44,3,0.1679999999999999,17.85714285714287
170,5.0,0.2,2,0.135,14.814814814814813
171,5.8,0.52,3,0.1709999999999999,17.543859649122815
172,5.64,0.32,8,0.1569999999999999,50.95541401273889
173,6.72,0.16,8,0.176,45.45454545454546
174,6.24,0.24,4,0.168,23.809523809523807
175,6.12,0.56,2,0.181,11.049723756906078
176,6.2,0.68,2,0.189,10.582010582010582
177,7.04,0.0,10,0.176,56.81818181818182
178,7.68,0.04,5,0.194,25.77319587628866
179,6.96,0.08,4,0.178,22.471910112359552
180,6.52,0.08,3,0.1669999999999999,17.964071856287436
181,4.28,0.04,3,0.109,27.522935779816514
182,2.8,0.44,6,0.092,65.21739130434783
183,5.68,1.08,8,0.196,40.816326530612244
184,5.36,0.84,8,0.176,45.45454545454546
185,6.56,0.0,10,0.1639999999999999,60.9756097560976
186,6.0,1.2,4,0.21,19.047619047619047
187,7.12,0.28,7,0.192,36.458333333333336
188,6.44,0.56,14,0.189,74.07407407407408
189,5.76,0.8,5,0.184,27.17391304347826
190,5.24,1.68,6,0.215,27.906976744186046
191,6.36,0.2,4,0.169,23.668639053254438
192,7.72,0.04,4,0.195,20.51282051282051
193,6.2,0.2,3,0.165,18.18181818181818
194,5.76,1.56,8,0.2219999999999999,36.03603603603605
195,6.88,0.0,9,0.172,52.32558139534884
196,7.16,0.0,3,0.179,16.75977653631285
197,7.0,0.04,4,0.177,22.598870056497177
198,7.2,0.08,3,0.184,16.304347826086957
199,6.56,0.08,2,0.1679999999999999,11.904761904761912
200,7.32,0.2,16,0.193,82.90155440414507
201,7.16,0.52,1,0.205,4.878048780487805
202,5.96,0.16,7,0.157,44.5859872611465
203,6.64,0.88,4,0.21,19.047619047619047
204,5.68,0.24,3,0.154,19.48051948051948
205,6.2,0.44,6,0.177,33.898305084745765
206,6.52,0.32,3,0.179,16.75977653631285
207,7.8,0.12,4,0.2009999999999999,19.90049751243782
208,6.76,0.12,8,0.175,45.714285714285715
209,7.72,0.32,5,0.209,23.923444976076556
210,6.88,0.44,5,0.194,25.77319587628866
211,6.56,1.12,2,0.22,9.090909090909092
212,7.32,0.72,2,0.219,9.132420091324201
213,5.56,0.72,2,0.175,11.428571428571429
214,6.72,0.96,2,0.216,9.25925925925926
215,6.28,0.16,4,0.165,24.242424242424242
216,6.36,0.52,4,0.185,21.62162162162162
217,6.52,0.52,8,0.189,42.32804232804233
218,6.0,0.2,5,0.16,31.25
219,2.76,0.8,1,0.1089999999999999,9.174311926605514
220,2.72,1.72,4,0.154,25.974025974025974
221,5.92,0.68,6,0.182,32.96703296703297
222,6.24,0.08,2,0.16,12.5
223,2.92,1.04,5,0.125,40.0
224,3.72,1.24,5,0.155,32.25806451612903
225,5.76,0.44,5,0.1659999999999999,30.120481927710863
226,4.2,0.96,6,0.153,39.21568627450981
227,1.24,0.92,3,0.077,38.96103896103896
228,4.8,0.12,5,0.126,39.682539682539684
229,2.16,1.64,5,0.1359999999999999,36.76470588235297
230,5.44,0.28,2,0.15,13.333333333333334
231,5.32,0.52,5,0.159,31.446540880503143
232,4.4,0.6,4,0.14,28.57142857142857
233,4.88,0.76,2,0.16,12.5
234,6.04,0.2,8,0.161,49.68944099378882
235,6.04,0.16,1,0.159,6.289308176100628
236,4.16,0.56,2,0.132,15.15151515151515
237,3.32,0.52,2,0.1089999999999999,18.348623853211027
238,5.96,0.04,5,0.151,33.11258278145696
239,3.44,0.92,2,0.132,15.15151515151515
240,5.72,0.84,4,0.185,21.62162162162162
241,5.48,1.0,5,0.187,26.737967914438503
242,7.28,0.16,4,0.19,21.05263157894737
243,7.32,0.08,3,0.187,16.0427807486631
244,7.84,0.2,3,0.206,14.563106796116505
245,3.44,1.12,7,0.142,49.29577464788733
246,3.44,1.32,2,0.152,13.157894736842106
247,6.6,0.08,5,0.1689999999999999,29.585798816568065
248,7.72,0.2,2,0.2029999999999999,9.852216748768477
249,5.64,0.84,12,0.183,65.57377049180327
250,2.72,1.04,5,0.12,41.66666666666667
251,5.44,0.0,2,0.136,14.705882352941176
252,4.48,0.52,2,0.138,14.492753623188404
253,4.0,0.64,4,0.132,30.3030303030303
254,4.52,0.92,5,0.1589999999999999,31.446540880503168
255,5.52,0.48,3,0.1619999999999999,18.51851851851853
256,5.92,0.28,5,0.162,30.864197530864196
257,7.84,0.08,10,0.2,50.0
258,5.8,0.64,4,0.177,22.598870056497177
259,4.6,1.56,12,0.193,62.17616580310881
260,6.92,0.28,6,0.187,32.0855614973262
261,7.4,0.16,5,0.193,25.906735751295336
262,6.88,0.36,4,0.19,21.05263157894737
263,5.88,0.32,6,0.1629999999999999,36.80981595092027
264,6.64,0.2,5,0.176,28.40909090909091
265,5.04,0.56,6,0.154,38.96103896103896
266,2.96,1.36,7,0.142,49.29577464788733
267,6.68,0.2,6,0.177,33.898305084745765
268,5.32,0.24,2,0.145,13.793103448275863
269,4.72,0.48,3,0.142,21.126760563380284
270,4.8,0.24,3,0.1319999999999999,22.727272727272744
271,5.92,0.12,4,0.154,25.974025974025974
272,5.48,0.76,6,0.175,34.285714285714285
273,2.88,1.0,4,0.122,32.78688524590164
274,4.92,0.44,2,0.145,13.793103448275863
275,6.04,0.0,5,0.151,33.11258278145696
276,4.64,1.16,4,0.174,22.98850574712644
277,0.88,1.56,3,0.1,30.0
278,1.84,0.76,6,0.084,71.42857142857143
279,4.68,0.72,6,0.1529999999999999,39.21568627450983
280,6.96,0.28,3,0.188,15.957446808510639
281,6.24,0.36,4,0.174,22.98850574712644
282,5.88,0.64,10,0.179,55.865921787709496
283,5.56,1.08,4,0.193,20.72538860103627
284,4.24,0.6,2,0.136,14.705882352941176
