seconds,small_cars,large_cars,car_flow,car_density
0,4.0,0.6,5.2,0.13
1,4.12,0.92,5.96,0.149
2,6.6,0.16,6.92,0.173
3,5.24,0.16,5.5600000000000005,0.139
4,4.48,0.24,4.960000000000001,0.12400000000000003
5,2.04,1.24,4.52,0.11299999999999999
6,3.96,0.8,5.5600000000000005,0.139
7,2.16,0.88,3.92,0.098
8,2.4,0.64,3.6799999999999997,0.092
9,4.64,0.16,4.96,0.124
10,2.68,0.64,3.96,0.099
11,2.88,0.72,4.32,0.10800000000000001
12,0.44,0.52,1.48,0.037
13,3.4,0.2,3.8,0.095
14,1.8,0.84,3.48,0.087
15,4.96,0.12,5.2,0.13
16,2.72,0.96,4.640000000000001,0.11600000000000002
17,4.0,0.76,5.52,0.13799999999999998
18,3.88,0.6,5.08,0.127
19,4.28,0.24,4.76,0.119
20,4.4,0.32,5.04,0.126
21,2.48,0.76,4.0,0.1
22,1.4,0.88,3.16,0.079
23,2.48,0.28,3.04,0.076
24,2.12,0.68,3.4800000000000004,0.08700000000000001
25,2.96,0.76,4.48,0.11200000000000002
26,4.84,0.84,6.52,0.16299999999999998
27,4.28,0.84,5.96,0.149
28,3.92,0.64,5.2,0.13
29,2.16,0.96,4.08,0.10200000000000001
30,0.68,0.8,2.2800000000000002,0.05700000000000001
31,5.32,0.6,6.5200000000000005,0.163
32,6.76,0.12,7.0,0.175
33,4.72,0.56,5.84,0.146
34,2.76,0.52,3.8,0.095
35,2.4,1.56,5.52,0.13799999999999998
36,3.96,0.16,4.28,0.10700000000000001
37,4.2,0.2,4.6000000000000005,0.11500000000000002
38,4.44,0.36,5.16,0.129
39,4.56,0.16,4.88,0.122
40,5.28,0.04,5.36,0.134
41,4.44,0.68,5.800000000000001,0.14500000000000002
42,3.68,0.36,4.4,0.11000000000000001
43,4.52,0.4,5.319999999999999,0.13299999999999998
44,4.64,0.4,5.4399999999999995,0.13599999999999998
45,2.72,0.72,4.16,0.10400000000000001
46,4.24,0.12,4.48,0.11200000000000002
47,5.04,0.12,5.28,0.132
48,3.76,0.76,5.279999999999999,0.13199999999999998
49,1.0,1.12,3.24,0.081
50,0.56,0.68,1.9200000000000002,0.048
51,4.84,0.36,5.56,0.13899999999999998
52,4.04,0.48,5.0,0.125
53,1.92,1.08,4.08,0.10200000000000001
54,0.84,0.52,1.88,0.047
55,4.52,0.2,4.92,0.123
56,4.96,0.12,5.2,0.13
57,4.72,0.2,5.12,0.128
58,4.28,0.24,4.76,0.119
59,4.48,0.48,5.44,0.136
60,4.72,0.36,5.4399999999999995,0.13599999999999998
61,2.4,0.56,3.52,0.088
62,1.92,0.56,3.04,0.076
63,3.92,0.4,4.72,0.118
64,3.92,0.32,4.56,0.11399999999999999
65,2.84,0.0,2.84,0.071
66,0.76,0.16,1.08,0.027000000000000003
67,0.28,0.16,0.6000000000000001,0.015000000000000003
68,0.68,0.2,1.08,0.027000000000000003
69,0.28,0.2,0.68,0.017
70,0.16,0.32,0.8,0.02
71,0.56,0.2,0.9600000000000001,0.024
72,0.28,0.0,0.28,0.007000000000000001
73,0.84,0.4,1.6400000000000001,0.041
74,0.24,0.0,0.24,0.006
75,0.28,0.6,1.48,0.037
76,0.8,0.16,1.12,0.028000000000000004
77,0.28,0.24,0.76,0.019
78,0.84,0.28,1.4,0.034999999999999996
79,0.8,0.44,1.6800000000000002,0.042
80,1.12,0.08,1.28,0.032
81,0.88,0.08,1.04,0.026000000000000002
82,0.88,0.04,0.96,0.024
83,4.28,0.08,4.44,0.11100000000000002
84,3.28,1.28,5.84,0.146
85,3.68,0.56,4.800000000000001,0.12000000000000002
86,3.24,0.6,4.44,0.11100000000000002
87,2.08,1.36,4.800000000000001,0.12000000000000002
88,2.16,0.32,2.8000000000000003,0.07
89,2.32,0.36,3.04,0.076
90,4.84,0.08,5.0,0.125
91,2.68,0.0,2.68,0.067
92,0.64,0.04,0.72,0.018
93,0.0,0.0,0.0,0.0
94,0.6,0.2,1.0,0.025
95,0.76,0.04,0.84,0.020999999999999998
96,0.72,0.16,1.04,0.026000000000000002
97,1.0,0.0,1.0,0.025
98,0.64,0.04,0.72,0.018
99,0.4,0.04,0.48000000000000004,0.012
100,0.36,0.0,0.36,0.009
101,0.24,0.2,0.64,0.016
102,0.24,0.12,0.48,0.012
103,0.64,0.04,0.72,0.018
104,1.36,0.48,2.3200000000000003,0.05800000000000001
105,1.4,0.2,1.7999999999999998,0.045
106,1.12,0.08,1.28,0.032
107,0.52,0.0,0.52,0.013000000000000001
108,0.0,0.0,0.0,0.0
109,0.76,0.08,0.92,0.023
110,1.4,0.32,2.04,0.051000000000000004
111,0.56,0.2,0.9600000000000001,0.024
112,0.2,0.36,0.9199999999999999,0.023
113,1.2,0.2,1.6,0.04
114,1.16,0.24,1.64,0.040999999999999995
115,0.52,0.2,0.92,0.023
116,1.92,0.0,1.92,0.048
117,0.68,0.0,0.68,0.017
118,0.8,0.04,0.88,0.022
119,0.32,0.0,0.32,0.008
120,0.6,0.08,0.76,0.019
121,0.16,0.0,0.16,0.004
122,0.52,0.04,0.6,0.015
123,0.56,0.0,0.56,0.014000000000000002
124,0.56,0.0,0.56,0.014000000000000002
125,0.6,0.2,1.0,0.025
126,0.2,0.04,0.28,0.007000000000000001
127,0.12,0.04,0.2,0.005
128,1.04,0.2,1.44,0.036
129,1.16,0.24,1.64,0.040999999999999995
130,1.08,0.4,1.8800000000000001,0.047
131,0.36,0.0,0.36,0.009
132,0.56,0.0,0.56,0.014000000000000002
133,0.64,0.08,0.8,0.02
134,1.64,0.28,2.2,0.05500000000000001
135,0.48,0.16,0.8,0.02
136,0.92,0.28,1.48,0.037
137,1.08,0.32,1.7200000000000002,0.043000000000000003
138,0.64,0.08,0.8,0.02
139,0.24,0.0,0.24,0.006
140,0.56,0.08,0.7200000000000001,0.018000000000000002
141,0.64,0.04,0.72,0.018
142,0.52,0.24,1.0,0.025
143,0.28,0.0,0.28,0.007000000000000001
144,0.56,0.2,0.9600000000000001,0.024
145,0.44,0.16,0.76,0.019
146,0.64,0.08,0.8,0.02
147,1.88,0.32,2.52,0.063
148,1.44,0.32,2.08,0.052000000000000005
149,2.0,0.12,2.24,0.05600000000000001
150,1.2,0.4,2.0,0.05
151,1.68,0.32,2.32,0.057999999999999996
152,0.76,0.08,0.92,0.023
153,0.44,0.04,0.52,0.013000000000000001
154,1.0,0.04,1.08,0.027000000000000003
155,0.52,0.0,0.52,0.013000000000000001
156,0.2,0.04,0.28,0.007000000000000001
157,1.0,0.12,1.24,0.031
158,0.32,0.04,0.4,0.01
159,0.56,0.16,0.8800000000000001,0.022000000000000002
160,1.2,0.16,1.52,0.038
161,0.72,0.12,0.96,0.024
162,0.72,0.04,0.7999999999999999,0.019999999999999997
163,0.12,0.0,0.12,0.003
164,0.72,0.24,1.2,0.03
165,1.88,0.32,2.52,0.063
166,0.36,0.24,0.84,0.020999999999999998
167,0.32,0.2,0.72,0.018
168,0.56,0.32,1.2000000000000002,0.030000000000000006
169,1.08,0.16,1.4000000000000001,0.035
170,1.44,0.2,1.8399999999999999,0.046
171,1.12,0.0,1.12,0.028000000000000004
172,0.88,0.24,1.3599999999999999,0.033999999999999996
173,0.52,0.04,0.6,0.015
174,0.0,0.0,0.0,0.0
175,0.0,0.0,0.0,0.0
176,0.2,0.2,0.6000000000000001,0.015000000000000003
177,0.72,0.2,1.12,0.028000000000000004
178,0.72,0.16,1.04,0.026000000000000002
179,1.56,0.44,2.44,0.061
180,1.96,0.36,2.6799999999999997,0.06699999999999999
181,1.04,0.16,1.36,0.034
182,0.92,0.12,1.1600000000000001,0.029000000000000005
183,0.92,0.0,0.92,0.023
184,0.92,0.08,1.08,0.027000000000000003
185,0.24,0.12,0.48,0.012
186,0.64,0.12,0.88,0.022
187,1.24,0.16,1.56,0.039
188,0.48,0.08,0.64,0.016
189,0.84,0.12,1.08,0.027000000000000003
190,0.08,0.16,0.4,0.01
191,0.56,0.04,0.64,0.016
192,0.8,0.08,0.9600000000000001,0.024
193,1.32,0.08,1.48,0.037
194,1.44,0.2,1.8399999999999999,0.046
195,1.16,0.28,1.72,0.043
196,1.56,0.08,1.72,0.043
197,1.32,0.32,1.96,0.049
198,1.24,0.08,1.4,0.034999999999999996
199,1.4,0.16,1.72,0.043
200,0.44,0.0,0.44,0.011
201,0.0,0.0,0.0,0.0
202,0.92,0.12,1.1600000000000001,0.029000000000000005
203,0.32,0.08,0.48,0.012
204,0.28,0.16,0.6000000000000001,0.015000000000000003
205,0.52,0.0,0.52,0.013000000000000001
206,0.48,0.04,0.5599999999999999,0.013999999999999999
207,0.92,0.0,0.92,0.023
208,0.64,0.04,0.72,0.018
209,0.8,0.28,1.36,0.034
210,1.24,0.08,1.4,0.034999999999999996
211,0.56,0.04,0.64,0.016
212,0.44,0.12,0.6799999999999999,0.016999999999999998
213,0.64,0.12,0.88,0.022
214,1.04,0.32,1.6800000000000002,0.042
215,0.28,0.0,0.28,0.007000000000000001
216,0.64,0.04,0.72,0.018
217,0.16,0.0,0.16,0.004
218,0.64,0.2,1.04,0.026000000000000002
219,0.32,0.0,0.32,0.008
220,1.32,0.12,1.56,0.039
221,0.44,0.16,0.76,0.019
222,0.56,0.12,0.8,0.02
223,1.2,0.32,1.8399999999999999,0.046
224,1.56,0.32,2.2,0.05500000000000001
225,0.96,0.4,1.76,0.044
226,0.6,0.0,0.6,0.015
227,0.92,0.16,1.24,0.031
228,0.68,0.04,0.76,0.019
229,0.36,0.0,0.36,0.009
230,0.28,0.12,0.52,0.013000000000000001
231,0.84,0.12,1.08,0.027000000000000003
232,1.64,0.12,1.88,0.047
233,0.36,0.24,0.84,0.020999999999999998
234,1.68,0.56,2.8,0.06999999999999999
235,1.16,0.08,1.3199999999999998,0.032999999999999995
236,1.68,0.72,3.12,0.078
237,1.76,0.96,3.6799999999999997,0.092
238,1.92,0.08,2.08,0.052000000000000005
239,1.64,0.52,2.6799999999999997,0.06699999999999999
240,0.68,0.12,0.92,0.023
241,0.88,0.08,1.04,0.026000000000000002
242,0.64,0.04,0.72,0.018
243,1.12,0.0,1.12,0.028000000000000004
244,0.24,0.2,0.64,0.016
245,2.2,0.08,2.3600000000000003,0.05900000000000001
246,1.2,0.2,1.6,0.04
247,0.36,0.04,0.44,0.011
248,0.84,0.04,0.9199999999999999,0.023
249,0.72,0.04,0.7999999999999999,0.019999999999999997
250,0.72,0.0,0.72,0.018
251,0.36,0.12,0.6,0.015
252,0.16,0.04,0.24,0.006
253,0.64,0.0,0.64,0.016
254,0.56,0.16,0.8800000000000001,0.022000000000000002
255,0.68,0.56,1.8000000000000003,0.045000000000000005
256,1.88,0.24,2.36,0.059
257,2.44,0.44,3.32,0.08299999999999999
258,1.76,0.16,2.08,0.052000000000000005
259,0.76,0.36,1.48,0.037
260,0.8,0.08,0.9600000000000001,0.024
261,0.48,0.04,0.5599999999999999,0.013999999999999999
262,0.72,0.08,0.88,0.022
263,1.16,0.36,1.88,0.047
264,1.04,0.32,1.6800000000000002,0.042
265,1.44,0.24,1.92,0.048
266,1.2,0.12,1.44,0.036
267,1.64,0.28,2.2,0.05500000000000001
268,0.76,0.04,0.84,0.020999999999999998
269,1.16,0.36,1.88,0.047
270,0.96,0.08,1.1199999999999999,0.027999999999999997
271,0.84,0.12,1.08,0.027000000000000003
272,0.76,0.04,0.84,0.020999999999999998
273,1.56,0.28,2.12,0.053000000000000005
274,0.32,0.04,0.4,0.01
275,0.0,0.0,0.0,0.0
276,1.2,0.12,1.44,0.036
277,0.4,0.0,0.4,0.01
278,0.12,0.0,0.12,0.003
279,0.24,0.4,1.04,0.026000000000000002
280,2.36,0.16,2.6799999999999997,0.06699999999999999
281,0.96,0.36,1.68,0.041999999999999996
282,1.6,0.16,1.9200000000000002,0.048
283,0.88,0.12,1.12,0.028000000000000004
284,0.08,0.04,0.16,0.004
285,0.48,0.24,0.96,0.024
286,1.48,0.04,1.56,0.039
287,0.64,0.08,0.8,0.02
288,1.24,0.04,1.32,0.033
289,0.56,0.28,1.12,0.028000000000000004
290,0.48,0.0,0.48,0.012
291,0.6,0.12,0.84,0.020999999999999998
292,0.24,0.32,0.88,0.022
293,0.36,0.12,0.6,0.015
294,0.84,0.04,0.9199999999999999,0.023
295,0.44,0.08,0.6,0.015
296,0.52,0.16,0.8400000000000001,0.021
297,0.2,0.04,0.28,0.007000000000000001
298,0.28,0.52,1.32,0.033
299,3.2,0.32,3.8400000000000003,0.096
300,3.32,0.16,3.6399999999999997,0.091
301,1.12,0.48,2.08,0.052000000000000005
302,1.0,0.32,1.6400000000000001,0.041
303,0.96,0.48,1.92,0.048
304,0.88,0.48,1.8399999999999999,0.046
305,2.4,0.16,2.7199999999999998,0.06799999999999999
306,2.0,0.28,2.56,0.064
307,2.24,0.32,2.8800000000000003,0.07200000000000001
308,1.84,0.72,3.2800000000000002,0.082
309,1.64,0.28,2.2,0.05500000000000001
310,0.84,0.52,1.88,0.047
311,1.72,0.72,3.16,0.079
312,1.16,0.16,1.48,0.037
313,1.36,0.08,1.52,0.038
314,0.44,0.04,0.52,0.013000000000000001
315,1.08,0.48,2.04,0.051000000000000004
316,2.8,0.08,2.96,0.074
317,1.16,0.36,1.88,0.047
318,2.4,0.24,2.88,0.072
319,1.28,0.28,1.84,0.046
320,1.2,0.32,1.8399999999999999,0.046
321,2.4,0.08,2.56,0.064
322,1.08,0.12,1.32,0.033
323,0.32,0.08,0.48,0.012
324,0.92,0.04,1.0,0.025
325,0.68,0.0,0.68,0.017
326,0.0,0.12,0.24,0.006
327,0.48,0.6,1.68,0.041999999999999996
328,1.0,0.28,1.56,0.039
329,1.76,0.2,2.16,0.054000000000000006
330,0.08,0.12,0.32,0.008
331,1.24,0.36,1.96,0.049
332,1.76,0.36,2.48,0.062
333,1.32,0.4,2.12,0.053000000000000005
334,2.24,0.0,2.24,0.05600000000000001
335,1.52,0.16,1.84,0.046
336,0.88,0.44,1.76,0.044
337,2.08,0.44,2.96,0.074
338,2.32,0.16,2.6399999999999997,0.06599999999999999
339,2.68,0.4,3.4800000000000004,0.08700000000000001
340,2.4,0.16,2.7199999999999998,0.06799999999999999
341,2.08,0.12,2.3200000000000003,0.05800000000000001
342,2.12,0.56,3.24,0.081
343,2.16,0.28,2.72,0.068
344,1.04,0.36,1.76,0.044
345,0.72,0.12,0.96,0.024
