seconds,small_cars,large_cars,car_flow,car_density
0,6.88,0.32,7.52,0.188
1,6.32,0.32,6.96,0.174
2,6.0,0.12,6.24,0.156
3,6.84,0.0,6.84,0.17099999999999999
4,8.32,0.0,8.32,0.20800000000000002
5,6.6,0.44,7.4799999999999995,0.187
6,5.44,0.68,6.800000000000001,0.17
7,1.44,0.92,3.2800000000000002,0.082
8,4.4,0.28,4.960000000000001,0.12400000000000003
9,2.48,1.24,4.96,0.124
10,2.96,0.84,4.64,0.11599999999999999
11,5.12,0.16,5.44,0.136
12,5.04,0.8,6.640000000000001,0.166
13,4.8,1.28,7.359999999999999,0.184
14,4.88,1.64,8.16,0.20400000000000001
15,7.88,0.04,7.96,0.199
16,7.32,0.0,7.32,0.183
17,5.64,1.16,7.959999999999999,0.19899999999999998
18,4.56,2.04,8.64,0.21600000000000003
19,8.6,0.56,9.719999999999999,0.24299999999999997
20,9.36,0.12,9.6,0.24
21,7.52,0.08,7.68,0.192
22,7.24,0.04,7.32,0.183
23,4.04,0.48,5.0,0.125
24,3.6,1.28,6.16,0.154
25,4.36,0.92,6.2,0.155
26,4.16,0.68,5.5200000000000005,0.138
27,5.8,0.08,5.96,0.149
28,5.8,0.04,5.88,0.147
29,6.6,0.48,7.56,0.189
30,4.32,1.32,6.960000000000001,0.17400000000000002
31,6.8,0.12,7.04,0.176
32,6.88,0.28,7.4399999999999995,0.186
33,6.36,0.52,7.4,0.185
34,6.76,0.88,8.52,0.213
35,5.44,1.0,7.44,0.186
36,7.28,0.68,8.64,0.21600000000000003
37,6.44,1.08,8.600000000000001,0.21500000000000002
38,6.8,0.12,7.04,0.176
39,7.16,0.2,7.5600000000000005,0.189
40,5.48,0.76,7.0,0.175
41,2.72,1.2,5.12,0.128
42,5.36,0.52,6.4,0.16
43,5.16,1.24,7.640000000000001,0.191
44,4.08,2.12,8.32,0.20800000000000002
45,5.48,0.84,7.16,0.179
46,7.16,0.0,7.16,0.179
47,5.76,1.28,8.32,0.20800000000000002
48,6.4,1.44,9.280000000000001,0.23200000000000004
49,7.04,0.16,7.36,0.184
50,8.24,0.28,8.8,0.22000000000000003
51,5.28,0.96,7.2,0.18
52,5.28,0.84,6.96,0.174
53,6.64,1.08,8.8,0.22000000000000003
54,7.44,1.2,9.84,0.246
55,8.88,0.48,9.84,0.246
56,7.76,1.44,10.64,0.266
57,7.8,0.44,8.68,0.217
58,8.24,0.56,9.36,0.23399999999999999
59,7.0,0.08,7.16,0.179
60,6.24,0.16,6.5600000000000005,0.164
61,6.12,1.04,8.2,0.205
62,7.48,0.16,7.800000000000001,0.195
63,6.28,0.44,7.16,0.179
64,6.48,0.4,7.28,0.182
65,7.12,0.2,7.5200000000000005,0.188
66,5.76,0.36,6.4799999999999995,0.16199999999999998
67,5.68,0.76,7.199999999999999,0.18
68,5.92,0.2,6.32,0.158
69,5.8,0.4,6.6,0.16499999999999998
70,6.48,0.6,7.680000000000001,0.192
71,6.32,0.08,6.48,0.162
72,6.28,0.32,6.92,0.173
73,6.36,0.28,6.92,0.173
74,6.08,0.0,6.08,0.152
