seconds,107_flow,107_density,107_speed,105_flow,105_density,105_speed,108_flow,108_density,108_speed,103_flow,103_density,103_speed
1,2,0.049333333,40.54054054,5,0.0872,57.33944954,4,0.054,74.07407407,3,0.188,15.95744681
2,4,0.060888889,65.69343066,4,0.076,52.63157895,7,0.0616,113.6363636,3,0.174,17.24137931
3,1,0.061333333,16.30434783,5,0.0712,70.2247191,7,0.0616,113.6363636,5,0.156,32.05128205
4,3,0.069777778,42.99363057,6,0.0732,81.96721311,6,0.0364,164.8351648,9,0.171,52.63157895
5,1,0.052,19.23076923,5,0.084,59.52380952,4,0.046,86.95652174,7,0.208,33.65384615
6,1,0.055111111,18.14516129,8,0.07,114.2857143,7,0.0468,149.5726496,1,0.187,5.347593583
7,2,0.056444444,35.43307087,6,0.0752,79.78723404,5,0.0448,111.6071429,1,0.17,5.882352941
8,1,0.062666667,15.95744681,4,0.0688,58.13953488,5,0.0536,93.28358209,4,0.082,48.7804878
9,2,0.059555556,33.58208955,9,0.0568,158.4507042,4,0.0472,84.74576271,3,0.124,24.19354839
10,1,0.053333333,18.75,5,0.07,71.42857143,7,0.0432,162.037037,2,0.124,16.12903226
11,3,0.051111111,58.69565217,1,0.0604,16.55629139,2,0.044,45.45454545,5,0.136,36.76470588
12,1,0.053777778,18.59504132,2,0.0592,33.78378378,6,0.05,120,3,0.166,18.07228916
13,2,0.053777778,37.19008264,8,0.076,105.2631579,6,0.0448,133.9285714,6,0.184,32.60869565
14,2,0.052444444,38.13559322,4,0.0756,52.91005291,3,0.0404,74.25742574,4,0.204,19.60784314
15,2,0.051111111,39.13043478,6,0.0724,82.87292818,1,0.0424,23.58490566,5,0.199,25.12562814
16,1,0.058666667,17.04545455,4,0.0564,70.92198582,7,0.0492,142.2764228,8,0.183,43.71584699
17,2,0.046666667,42.85714286,3,0.068,44.11764706,5,0.0568,88.02816901,9,0.199,45.22613065
18,2,0.056444444,35.43307087,5,0.0808,61.88118812,7,0.044,159.0909091,4,0.216,18.51851852
19,1,0.044888889,22.27722772,9,0.0652,138.0368098,3,0.0308,97.4025974,3,0.243,12.34567901
20,1,0.055555556,18,4,0.0784,51.02040816,7,0.0672,104.1666667,6,0.24,25
